iteration,epoch,accuracy,loss
1.000000,0.000028,0.000000,6.725428
2.000000,0.000056,0.000000,6.131552
3.000000,0.000083,0.100000,5.654697
4.000000,0.000111,0.450000,4.986372
5.000000,0.000139,0.400000,4.698460
6.000000,0.000167,0.600000,3.831416
7.000000,0.000194,0.400000,3.782104
8.000000,0.000222,0.450000,3.174062
9.000000,0.000250,0.400000,2.645769
10.000000,0.000278,0.450000,2.771053
11.000000,0.000306,0.500000,1.772305
12.000000,0.000333,0.450000,1.947011
13.000000,0.000361,0.250000,2.432677
14.000000,0.000389,0.600000,1.648346
15.000000,0.000417,0.500000,1.521501
16.000000,0.000444,0.400000,1.710271
17.000000,0.000472,0.450000,1.381288
18.000000,0.000500,0.550000,1.034978
19.000000,0.000528,0.600000,1.034248
20.000000,0.000556,0.400000,1.316661
21.000000,0.000583,0.500000,0.951728
22.000000,0.000611,0.450000,1.167850
23.000000,0.000639,0.400000,1.211732
24.000000,0.000667,0.500000,1.018127
25.000000,0.000694,0.450000,1.062472
26.000000,0.000722,0.250000,1.512256
27.000000,0.000750,0.650000,0.945283
28.000000,0.000778,0.500000,0.924049
29.000000,0.000806,0.550000,1.065060
30.000000,0.000833,0.550000,0.841218
31.000000,0.000861,0.850000,0.663903
32.000000,0.000889,0.400000,1.095568
33.000000,0.000917,0.500000,0.905868
34.000000,0.000944,0.500000,1.004482
35.000000,0.000972,0.550000,0.870338
36.000000,0.001000,0.750000,0.631599
37.000000,0.001028,0.650000,0.804489
38.000000,0.001056,0.700000,0.688983
39.000000,0.001083,0.500000,0.981702
40.000000,0.001111,0.700000,0.767613
41.000000,0.001139,0.750000,0.701128
42.000000,0.001167,0.550000,0.803509
43.000000,0.001194,0.500000,0.967745
44.000000,0.001222,0.650000,0.756396
45.000000,0.001250,0.500000,0.879888
46.000000,0.001278,0.600000,0.737179
47.000000,0.001306,0.750000,0.723286
48.000000,0.001333,0.600000,0.689336
49.000000,0.001361,0.600000,0.632970
50.000000,0.001389,0.600000,0.832655
51.000000,0.001417,0.850000,0.361072
52.000000,0.001444,0.550000,0.734243
53.000000,0.001472,0.550000,0.951615
54.000000,0.001500,0.650000,0.673901
55.000000,0.001528,0.650000,0.691596
56.000000,0.001556,0.550000,0.841098
57.000000,0.001583,0.850000,0.392375
58.000000,0.001611,0.500000,0.964225
59.000000,0.001639,0.900000,0.326814
60.000000,0.001667,0.550000,0.802374
61.000000,0.001694,0.500000,0.760036
